,Africa,Asia,Europe,America,Oceania
0,0,554,0,1,0
1,0,99,0,0,0
2,0,284,2,1,0
3,0,492,1,0,0
4,0,676,0,4,4
5,0,807,1,0,1
6,0,2646,4,1,0
7,0,585,2,1,1
8,0,2065,0,0,3
9,0,1683,5,4,0
10,0,2102,6,0,3
11,0,4747,2,0,0
12,0,3089,8,3,0
13,0,4009,1,0,1
14,0,3743,1,1,0
15,0,3158,0,1,1
16,0,3588,2,2,1
17,0,2725,9,0,0
18,0,3027,3,0,0
19,0,2609,0,0,0
20,0,2038,3,1,0
21,0,417,1,0,0
22,0,15151,1,1,0
23,1,6525,1,0,0
24,0,2141,1,0,0
25,0,2184,0,0,0
26,0,2033,1,1,0
27,0,1882,0,0,0
28,0,499,1,0,0
29,0,558,2,0,0
30,0,608,18,3,0
31,0,1719,42,0,0
32,0,280,98,2,0
33,0,487,76,1,0
34,1,743,108,1,0
35,0,813,163,1,0
36,0,1092,265,3,0
37,1,1079,304,2,1
38,0,1490,372,18,10
39,1,1597,755,26,2
40,4,1384,566,26,3
41,3,1869,688,25,9
42,10,1230,1012,41,15
43,3,1287,1431,87,3
44,19,2045,1763,80,6
45,0,1756,2158,177,4
46,40,1206,2531,159,13
47,8,910,3140,99,15
48,13,1193,3387,213,16
49,14,1724,5460,442,21
50,16,1367,3920,487,0
51,43,1846,11524,902,72
52,77,1934,8131,880,51
53,59,1947,8838,377,49
54,87,1757,10964,1922,80
55,84,2031,11511,2239,79
56,117,2179,14004,3135,124
57,180,2210,19307,5230,122
58,188,2757,20411,7299,122
59,203,2627,21604,7275,293
60,265,3306,20256,10475,529
61,381,3167,26334,12835,134
62,432,3684,24332,12296,416
63,523,5583,30871,13670,371
64,553,5918,35686,20149,524
65,559,7323,35845,20916,418
66,340,7445,36539,22342,580
67,561,7545,29639,21100,407
68,410,7574,32322,24520,452
69,585,9516,36278,30214,256
70,599,9084,36643,36172,364
71,652,9947,35364,36753,345
72,881,9381,37007,35870,285
73,679,9595,11932,35902,307
74,706,10595,25793,35268,226
75,701,10968,26427,34863,180
76,633,10750,22661,35630,153
77,804,11112,32910,38387,165
78,813,11718,31873,42490,127
79,664,12944,29529,42225,152
80,714,13689,25477,34344,117
81,864,13833,72840,32165,30
82,784,14136,22551,33230,55
83,963,14278,34775,33838,81
84,954,14789,28528,32782,45
85,1168,15840,40639,37888,43
86,1407,16855,28004,41378,68
87,1305,16917,22647,36425,59
88,1209,18336,24014,33083,51
89,1173,18266,19368,37119,23
90,1055,19332,21758,33441,27
91,1402,17438,24317,37850,14
92,1450,17560,20768,44561,15
93,1707,18928,10287,53146,20
94,1231,17924,18798,44288,26
95,1534,17875,15695,36582,19
96,1334,17288,17951,33456,10
97,1627,18335,17479,37840,25
98,2013,18783,15732,40498,10
99,2013,20184,15984,45331,17
100,1750,21097,14920,50481,18
101,2196,21707,12562,42803,23
102,1535,23317,10571,41099,23
103,2658,24840,10480,39602,24
104,2038,25310,12494,40476,30
105,2546,25985,16512,44817,20
106,2490,26903,13896,45469,20
107,3805,27510,12708,46305,7
108,2722,26231,9878,45936,23
109,2727,28973,8756,34824,12
110,3026,28229,12160,33494,22
111,3134,27923,11174,41877,10
112,2938,27262,10444,44235,9
113,2961,30591,10177,52628,31
114,2928,28065,9728,55013,16
115,3328,29138,8445,53804,10
116,2988,30530,6747,37567,10
117,3668,29748,7972,47639,14
118,3149,31216,9665,52743,8
119,3655,31355,9285,57427,9
120,4692,33065,8681,60147,15
121,4115,33092,9960,59365,4
122,3872,33821,7193,60180,15
123,4062,32510,5591,52005,0
124,4080,30768,5360,46619,12
125,3562,29106,7330,53619,13
126,5279,32247,6806,58449,11
127,4719,34220,12072,67879,15
128,5923,37391,8030,69728,19
129,6224,36603,7667,86454,8
130,5195,38500,5307,57610,10
131,5706,36454,6198,47308,19
132,4875,39434,5199,71902,8
133,5139,41921,3215,64009,11
134,7132,41134,10943,71512,7
135,7132,41659,7738,74822,5
136,6659,43278,7082,77098,7
137,6122,43561,5792,56491,6
138,6809,40125,6172,49482,2
139,6496,42532,6757,68986,7
140,6516,44915,7133,76320,11
141,7395,46620,7400,76457,4
142,8078,41654,8108,70803,5
143,8080,47613,7034,72414,26
144,8852,53762,5953,63894,15
145,9623,45479,5825,58503,14
146,7703,46777,7643,79775,23
147,8707,48847,8198,77388,22
148,7974,48880,9233,74229,18
149,10122,50831,7845,110987,4
150,11198,49780,6746,88862,52
151,9278,47469,5577,65700,15
152,8989,48136,5961,75235,21
153,9144,49790,7659,99259,30
154,11267,51058,7966,100729,41
155,12045,51371,7672,107455,38
156,11755,53146,8837,117553,9
157,12009,53105,7056,105378,89
158,10590,53754,4958,94080,80
159,11042,51143,6265,85957,70
160,11564,53338,6117,102868,86
161,13415,73334,6639,123996,83
162,14120,57330,6781,130627,65
163,15133,57388,7240,121668,194
164,15611,60400,6195,111616,186
165,13562,62852,5073,101613,142
166,13844,56746,7043,86689,176
167,17450,56479,5615,131741,132
168,14710,60413,7607,130877,173
169,19199,64371,7129,135980,325
170,17606,62776,7940,144080,180
171,18861,61992,7154,129272,245
172,16648,61426,5176,109153,183
173,16137,63053,8019,103376,272
174,14470,61125,6572,139328,238
175,18060,67226,8007,137856,324
176,20331,66982,8882,155499,424
177,19540,70478,9811,142334,213
178,19170,80502,7146,129167,365
179,18629,74552,5658,114631,269
180,15295,67251,12102,111381,363
181,13864,71405,8547,138820,474
182,19724,77473,10105,173565,411
183,18357,85676,11717,166885,295
184,22111,80802,11830,166112,356
185,18234,80180,7868,147647,460
186,18232,78614,7303,108269,555
187,13428,74849,16009,121164,369
188,13499,83352,9922,144903,282
189,17559,83377,12915,176919,717
190,17407,86854,14340,161226,605
191,19153,93704,14277,163463,388
192,16949,82877,8935,139528,637
193,12655,87147,7480,123825,444
194,10853,80605,19605,94219,413
195,9915,84468,15392,145829,720
196,15374,90955,15147,154563,484
197,14258,95995,16695,157862,392
198,13562,95937,18500,152979,451
199,14208,96189,9936,137769,386
200,12356,91765,8629,112304,339
201,9055,86510,22548,108581,317
202,7960,90629,14795,142701,414
203,9176,100486,18342,148931,323
204,10428,97539,22376,158981,382
205,12543,99842,22013,168321,300
206,11761,96383,14773,124138,265
207,9960,88686,12120,105096,332
208,8893,82783,25883,90083,237
209,8651,97789,18192,133274,236
210,10920,103240,23241,142199,252
211,10604,101697,25493,134526,196
212,10254,102025,27346,121220,201
213,10338,99982,16546,137379,212
214,9140,88848,15164,93103,153
215,7512,91016,32195,94360,145
216,7614,86723,22390,126824,174
217,8784,117628,21559,136032,125
218,8589,108255,35185,131570,143
219,8039,108670,30500,136318,141
220,8477,109521,18877,129531,125
221,8457,108349,16972,87408,91
222,6805,99140,38099,118516,87
223,7157,108503,25114,123867,111
224,8714,115340,30770,128562,139
225,7747,116497,31995,124716,92
226,8578,120374,36443,148348,82
227,7392,120341,24452,117709,87
228,7823,122099,21355,79417,56
229,6876,106215,45890,58735,58
230,7646,123488,32214,78399,104
231,8295,130815,35975,109573,65
232,8050,133213,40413,118227,44
233,8679,134477,43643,134242,46
234,7394,129732,32475,116832,46
235,6794,126240,24093,85635,44
236,6502,121253,50427,85038,51
237,6563,127828,38329,112583,40
238,7310,136742,45323,114652,47
239,8605,135275,49447,121447,48
240,8141,132428,55145,129904,26
241,8727,129806,38659,114971,17
242,8439,123469,32644,87509,15
243,6127,112040,59787,97834,30
244,6860,123818,47595,105733,49
245,8727,130214,54691,81712,11
246,8186,130124,58866,155102,26
247,7965,129631,62889,129885,19
248,6422,129390,44402,107886,26
249,8365,121137,37011,85048,4
250,5666,106583,60616,81092,13
251,7516,122290,40276,111721,26
252,8428,134074,71002,114593,30
253,7266,128322,61528,120932,18
254,8853,126314,67287,94929,13
255,8829,117295,61484,144410,20
256,8084,118536,63147,72126,14
257,4714,108116,73229,114543,28
258,6589,120134,73013,126125,12
259,10558,127791,87691,124597,28
260,10908,120227,99947,130174,30
261,8554,119156,105934,126748,22
262,13525,120803,97083,125134,20
263,8975,112339,74023,92195,27
264,5899,103869,101304,80019,39
265,7834,113554,98701,98706,29
266,11502,118863,128889,122596,35
267,9116,115507,143021,138972,19
268,10683,115700,142548,142286,10
269,14262,111455,129178,117698,18
270,8188,106197,117571,84666,9
271,9702,98223,149307,129189,7
272,9776,107054,144593,127153,63
273,10474,114016,185278,134464,18
274,10970,113027,199687,148490,30
275,10430,114761,217782,153158,30
276,11757,105108,188869,151000,19
277,9085,101611,137135,112523,17
278,10723,89891,266923,118441,20
279,8645,101296,214041,145250,20
280,11900,109173,241352,148338,20
281,11066,110742,267242,160947,17
282,13604,110155,282279,164139,13
283,11074,104817,212779,147406,12
284,10311,106079,199682,146119,10
285,7618,101376,328236,123737,20
286,10866,111595,258403,171669,22
287,14001,116879,208392,170989,10
288,15302,115881,296853,167493,14
289,11683,122159,301098,208725,10
290,14960,114160,280114,188747,12
291,12580,115171,199416,152186,13
292,8904,107286,222346,163930,8
293,13077,116428,229072,199308,4
294,14146,120645,277288,235521,8
295,15781,120673,273125,237881,5
296,14581,121400,264358,250540,10
297,13943,116712,219829,244747,32
298,12693,104350,177734,179425,40
299,10087,103390,212664,204854,13
300,13081,116735,251724,226321,25
301,15155,127706,242116,241069,13
302,13955,130607,246201,261128,10
303,15655,132742,243191,275464,20
304,13452,128391,195553,251444,24
305,12857,129495,148202,197790,15
306,9833,122069,167600,219419,36
307,12664,131611,201333,243734,22
308,14670,133302,214151,273854,28
309,13934,163868,212389,194226,15
310,15703,173644,205844,275881,17
311,13713,154647,166500,263852,6
312,12888,151978,124340,197122,16
313,10521,141664,138333,214927,28
314,10864,149271,174240,274095,25
315,16341,152533,183251,295154,25
316,15633,159404,198372,319059,12
317,17670,153647,187554,321845,18
318,15091,152305,171222,304269,9
319,13456,148642,133449,243797,8
320,10570,136630,123737,244142,21
321,13046,144247,172795,307373,22
322,19561,144054,186789,319082,7
323,19142,936469,210116,328311,15
324,19154,142670,202886,334289,50
325,18197,138476,159388,306934,9
326,16256,127733,155164,249433,14
327,11250,121552,131581,260031,11
328,18057,134139,186806,285411,20
329,21260,133110,215085,364324,12
330,20335,129656,226546,359825,62
331,19118,128977,215903,353577,33
332,21449,124668,173511,296700,48
333,18518,115648,141256,258335,35
334,16705,109123,157837,258266,22
335,20083,117779,208010,300571,25
336,25455,117764,220249,328104,25
337,26832,118669,219763,306198,31
338,25502,114625,151875,175510,23
339,21134,104635,110875,275958,27
340,18569,99611,107275,207436,29
341,15017,98279,144488,230928,19
342,19956,109236,216972,319489,35
343,30439,110150,269157,346958,35
344,29478,92798,242511,351359,20
345,27478,103501,181992,226320,35
346,22748,116432,132915,350994,43
347,21833,93907,143641,275756,39
348,21500,97134,180067,251235,18
349,26815,107006,251026,349023,23
